ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	57/1119	230/13919	6.74276393502354e-15	3.04282547031426e-12	2.36674240322166e-12	CD4/ERCC1/SLC11A1/CD74/TNFRSF1B/BCL3/PVR/IL4R/PTPRC/ICAM1/CSF2RB/IL4I1/LILRB1/JAK3/CTSC/TCIRG1/PTPN6/BACH2/C7/BCL6/IL1R1/MPL/TNFAIP3/NCKAP1L/IL1B/RSAD2/ANXA1/HAVCR2/MYO1G/HLX/NFKBIZ/SERPING1/FCGR1A/IL18/MR1/FCER1G/C1QC/C1R/IL6R/TNFSF13/C2/B2M/NOD2/STAT3/KLHL6/C1QB/C1QA/C1S/SOCS3/IRF7/SEMA4A/SPN/CR1/HLA-DRA/HLA-E/CFI/C4B	57
GO:0002250	adaptive immune response	70/1119	322/13919	7.64086545402351e-15	3.16077134281439e-12	2.45848197239985e-12	CD4/ERCC1/SLC11A1/CD74/TNFRSF1B/BCL3/PVR/IL4R/PTPRC/LAT2/ICAM1/CSF2RB/IL4I1/LILRB1/LILRB5/JAK3/CTSC/TCIRG1/PTPN6/BACH2/C7/BCL6/IL1R1/MPL/TNFAIP3/NCKAP1L/IL1B/LILRB2/RSAD2/ANXA1/CTSL/HAVCR2/TEC/MYO1G/HLX/TNFRSF11A/NFKBIZ/SERPING1/FCGR1A/IL18/MR1/FCER1G/C1QC/C1R/IL6R/TNFSF13/CTSS/C2/B2M/NOD2/LAIR1/STAT3/GPR183/CD8B/KLHL6/C1QB/C1QA/C1S/SOCS3/IRF7/SEMA4A/SPN/CR1/HLA-DMA/HLA-DRA/HLA-E/CFI/C4B/HLA-DMB/LILRA6	70
GO:0042060	wound healing	72/1119	344/13919	2.43854705995637e-14	9.31149815817185e-12	7.24258349467203e-12	CFLAR/SLC4A1/TNFRSF12A/ALOX5/SLC11A1/CD44/MYLK/LMAN1/FBLN1/CD59/B4GALT1/DSP/SERPIND1/HMOX1/MYL9/CCN4/SLC6A4/VTN/ELK3/PTPN6/WNT5A/PLEK/F3/TNFAIP3/PLAU/SDC4/F13A1/CDKN1A/RREB1/AHNAK/MACF1/KDR/COL5A1/NFATC1/EMILIN2/ANXA1/CD36/TEC/SERPINE2/TLN1/EMILIN1/MYOF/MMRN1/VAV1/SERPING1/FERMT3/SLC7A11/CD109/GRHL3/FCER1G/ITGA5/DDR2/NOS3/COL3A1/LRG1/NDNF/FOXC2/ANO6/PLEC/THBD/GATA2/ANXA2/GAS6/PROS1/PLSCR1/SERPINA1/OCLN/PLCG2/PAPSS2/CLIC1/AQP1/HBB	72
GO:0009611	response to wounding	86/1119	455/13919	3.59304687151088e-14	1.27399176215571e-11	9.90924505616684e-12	CFLAR/SLC4A1/TNFRSF12A/TYROBP/ALOX5/SLC11A1/CD44/MYLK/NEO1/LMAN1/FBLN1/CD59/B4GALT1/MMP2/DSP/SERPIND1/HMOX1/MYL9/CCN4/SLC6A4/VTN/ELK3/PTPN6/WNT5A/PLEK/TNR/MTR/F3/TNFAIP3/SPP1/PLAU/SDC4/F13A1/CDKN1A/RREB1/AHNAK/MACF1/ZFP36/KDR/COL5A1/NFATC1/EMILIN2/ITGB4/LYVE1/ANXA1/CD36/TEC/SERPINE2/TLN1/EMILIN1/MYOF/MMRN1/VAV1/CERS2/NFKBIZ/SERPING1/FERMT3/SLC7A11/CD109/GRHL3/FCER1G/ITGA5/DDR2/CCR1/NOS3/COL3A1/STAT3/LRG1/NDNF/FOXC2/ANO6/PLEC/THBD/GATA2/ANXA2/GAS6/PROS1/PLSCR1/APOD/SERPINA1/OCLN/PLCG2/PAPSS2/CLIC1/AQP1/HBB	86
GO:0002263	cell activation involved in immune response	54/1119	220/13919	5.39045711615127e-14	1.78388194163833e-11	1.38752257558195e-11	FGR/ITGAL/TYROBP/ERCC1/SLC11A1/CD74/SBNO2/SPI1/IFI35/BCL3/STXBP2/IL4R/PTPRC/LAT2/ICAM1/LILRB1/JAK3/PTGDS/PTPN6/BCL6/VAMP8/NCKAP1L/LRP1/ADGRE2/FGL2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/DOCK10/LCP1/HLX/NFKBIZ/IL18/FCER1G/ITGB2/IL6R/TNFSF13/PTGDR/STAT3/LGALS9/GPR183/ITGAM/PTGER4/GATA2/SOCS3/SEMA4A/SPN/PLCG2/CR1/HLA-DRA/HLA-DMB/MILR1	54
GO:0032103	positive regulation of response to external stimulus	86/1119	461/13919	7.80887466260538e-14	2.42270336407332e-11	1.88440475410767e-11	TYROBP/LTF/CD74/SPI1/TNFRSF1A/IFI35/PVR/MGST2/OAS1/OSM/NFKBIA/HCK/ABCC1/CCN4/GSDMD/NOD1/VTN/CTSC/SLC15A3/TRPV4/NEDD9/SASH1/CSNK1A1/WNT5A/F3/TNFAIP3/VAMP8/PLAU/NCKAP1L/NAGK/IL1B/KDR/RAC2/EMILIN2/ALOX5AP/RSAD2/HAVCR2/CD36/APPL2/TLR2/EMILIN1/TNFRSF11A/VAV1/NFKBIZ/OSMR/PLA2G7/FCGR1A/VEGFC/IL18/BMP6/COLEC12/IL6R/SCIMP/CTSS/S100A9/MNDA/IFI16/RBM47/CCR1/NOD2/LGALS9/CXCL8/CD14/PTGER4/C3AR1/CEBPB/IL16/STAT5B/NUPR1/ANO6/THBD/GAS6/CSF1/STING1/IRF7/TLR5/PLSCR1/LRRK2/CASP4/PELI1/C5AR1/PLCG2/AIF1/HLA-E/LGR4/NEAT1	86
GO:0002366	leukocyte activation involved in immune response	53/1119	216/13919	9.40277735693849e-14	2.74561098822604e-11	2.13556577989166e-11	FGR/ITGAL/TYROBP/ERCC1/SLC11A1/CD74/SBNO2/SPI1/IFI35/BCL3/STXBP2/IL4R/PTPRC/LAT2/ICAM1/LILRB1/JAK3/PTGDS/PTPN6/BCL6/VAMP8/NCKAP1L/ADGRE2/FGL2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/DOCK10/LCP1/HLX/NFKBIZ/IL18/FCER1G/ITGB2/IL6R/TNFSF13/PTGDR/STAT3/LGALS9/GPR183/ITGAM/PTGER4/GATA2/SOCS3/SEMA4A/SPN/PLCG2/CR1/HLA-DRA/HLA-DMB/MILR1	53
GO:2000147	positive regulation of cell motility	86/1119	470/13919	2.4192706306761e-13	6.47227095205332e-11	5.03420201283591e-11	FGR/ITGA3/ITGA2B/SELE/SEMA3B/CD74/MAP2K3/HDAC7/MYLK/SPI1/PTPRC/MMP2/ICAM1/LAMB1/TF/HMOX1/FGF9/CEMIP/CCN4/VSIR/ACTA2/COL1A1/VTN/TRPV4/NEDD9/SASH1/WNT5A/IL1R1/F3/TWIST1/PLAU/NCKAP1L/SNAI1/RREB1/BMP4/IL1B/STAT5A/KDR/RAC2/PLVAP/LYVE1/ANXA1/GPNMB/SEMA6D/CYP1B1/ACKR3/PLA2G7/DOCK5/ATM/FERMT3/VEGFC/DAB2/ADAMTS1/IL6R/ITGA5/CXCL16/DDR2/S100A11/TGFBR2/CCR1/NOS3/RET/STAT3/LGALS9/CXCL8/P2RY6/C3AR1/FOXC2/ANO6/CAVIN1/GATA2/GAS6/CSF1/SEMA4B/IRS2/SEMA4A/C5AR1/SPN/MYO1C/PLCG2/MAP3K3/AIF1/CEP43/TWIST2/AQP1/PECAM1	86
GO:0030335	positive regulation of cell migration	84/1119	454/13919	2.47729951831211e-13	6.47227095205332e-11	5.03420201283591e-11	FGR/ITGA3/ITGA2B/SELE/SEMA3B/CD74/MAP2K3/HDAC7/MYLK/SPI1/PTPRC/MMP2/ICAM1/LAMB1/HMOX1/FGF9/CEMIP/CCN4/VSIR/ACTA2/COL1A1/VTN/TRPV4/NEDD9/SASH1/WNT5A/IL1R1/F3/TWIST1/PLAU/NCKAP1L/SNAI1/RREB1/BMP4/IL1B/STAT5A/KDR/RAC2/PLVAP/LYVE1/ANXA1/GPNMB/SEMA6D/CYP1B1/ACKR3/PLA2G7/DOCK5/ATM/FERMT3/VEGFC/DAB2/ADAMTS1/IL6R/ITGA5/CXCL16/DDR2/S100A11/TGFBR2/CCR1/NOS3/RET/STAT3/LGALS9/CXCL8/P2RY6/C3AR1/FOXC2/ANO6/GATA2/GAS6/CSF1/SEMA4B/IRS2/SEMA4A/C5AR1/SPN/MYO1C/PLCG2/MAP3K3/AIF1/CEP43/TWIST2/AQP1/PECAM1	84
GO:0001501	skeletal system development	80/1119	423/13919	2.83527065517378e-13	7.03714176614131e-11	5.47356461219864e-11	FGR/TYROBP/LTF/CD44/ALX4/FOXC1/PTPRC/MMP2/NFATC2/RASSF2/FGF9/EYA1/CCN4/LILRB1/OGN/COL1A1/ZBTB16/TRPV4/MGP/BMP5/WNT5A/LEPR/P3H1/TGFBI/RDH10/TWIST1/SNAI1/BMP4/SIX1/DYNC2I1/KDR/CDKN1C/CHSY1/LOXL2/WNT2B/COL2A1/CDH11/OSR1/ADAMTS12/SPEF2/BMP3/BMP6/ALX3/WDR19/ADAMTS4/STC1/RUNX1/DHRS3/DDR2/FLVCR1/MSX1/TGFBR2/TIPARP/COL1A2/FBN1/BMP1/COL3A1/AXIN2/SIX2/CHST11/PTGER4/BNC2/WFIKKN2/PHOSPHO1/LEP/FOXC2/RFLNA/ZNF664-RFLNA/CREB3L2/ANXA2/COL18A1/JAG2/NOTUM/IFT140/PRELP/RYR1/COL13A1/PAPSS2/TGM2/HEXA	80
