ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001819	positive regulation of cytokine production	150/1824	499/18577	8.94343364204676e-38	5.19792363275758e-34	3.48605629226307e-34	STAT3/MYD88/TMED10/CYBA/FCGR3A/SLC11A1/IL4R/CD14/C3/B2M/NOD2/FCER1G/HLA-E/PTPRC/F3/IFI16/RUNX1/CD81/HILPDA/RBM47/TLR2/IL17RA/TLR1/GPSM3/GSDMD/LGALS9/CHI3L1/TRIM56/IL1R1/LY96/SASH3/ANXA1/NFAM1/CD4/BTK/HGF/CASP1/AIF1/LAPTM5/CD74/TLR8/HAVCR2/LILRA5/IL6/IKBKE/TGFB1/PNP/LILRB2/CYBB/CD58/LILRB1/IL33/CASP8/FZD5/CEBPB/BCL3/CARD8/ZC3HAV1/CLU/PLCG2/TYROBP/EBI3/HMOX1/FGR/BATF/IL6R/TRIM6/TREM2/HLA-F/IFNGR1/IRF7/HLA-DPA1/ARRDC4/CD55/HIF1A/JAK2/TLR5/CD86/C5AR1/G3BP1/TMEM106A/CYP1B1/TLR7/UNC93B1/H19/BTN3A2/STING1/C3AR1/IL18R1/IL6ST/STAT5B/NOD1/TNFRSF8/BTN3A1/SPN/ARID5A/FADD/RNF135/CD40/PTGER4/IL10/PELI1/SYK/CGAS/DDX21/AGT/ZBTB7B/ABL1/ADORA2B/NLRC4/MAPKAPK2/IL18/TNXB/PDE4B/LILRA2/IL1B/PTAFR/IL15/PIK3CG/TANK/IL1RL1/IRAK3/IRF8/RIGI/THBS1/IFIH1/SIRT1/RAD21/STAT1/HLA-DPB1/SERPINE1/RELA/RIOK3/CCR7/CLEC7A/IRF1/BMPR1A/TRPV4/TLR3/IL17RC/FFAR2/FRMD8/CD226/PYCARD/CLEC5A/MMP8/BRCA1/TRIM65/ARNT/RPS3	150
GO:0050900	leukocyte migration	127/1824	396/18577	3.21434050107437e-35	9.34087349612212e-32	6.2645804607781e-32	EMILIN1/MYD88/ALOX5/ITGB2/CD99/ADGRE2/MSN/SLAMF8/ITGA6/ICAM1/NOD2/FCER1G/CD300A/ANO6/SPI1/RAC2/HCK/MMP14/HSD3B7/B4GALT1/CD81/MYO1G/CCR5/CSF1/IL17RA/IRAK4/GPSM3/SELL/CCR1/ITGAL/S100A9/TMEM102/TGFB2/LGALS9/S100A8/IL1R1/PECAM1/CXCL2/ANXA1/FPR2/ITGB1/LGALS3/AIF1/CXCL16/CD74/LYN/NCKAP1L/RIN3/IL6/CCL2/MYH9/IL33/VAV1/RHOA/F11R/HMOX1/IL6R/CXCL10/SWAP70/FLT1/TREM2/PPIB/ITGB3/ADAM10/SLC8B1/CXCL5/C5AR1/SELE/ROCK1/EMP2/WDR1/TNFSF14/C3AR1/TREM1/CXCL3/STAT5B/CD9/SPN/VCAM1/FADD/STK10/PADI2/PTGER4/IL10/SYK/ITGA1/RARRES2/ABL1/CALR/AIMP1/CNN2/PDE4B/EPS8/CH25H/IL1B/PTAFR/CSF3R/PIK3CG/CXCL1/RIPK3/VEGFC/THBS1/YES1/DOCK8/RPS19/ARHGEF5/S100A12/GPR183/SERPINE1/PREX1/CCR7/PIKFYVE/TRPV4/IL17RC/THBS4/CD177/FYN/MTUS1/ITGA2/FFAR2/APOD/CXCL8/PYCARD/JAM3/CMKLR1/RPL13A/SBDS	127
GO:0002274	myeloid leukocyte activation	95/1824	241/18577	9.89615012912415e-35	1.91721415168232e-31	1.28580505011041e-31	MYD88/LTBR/FCGR3A/PLSCR1/ITGB2/SLC11A1/IL4R/CD93/ADGRE2/FCER1G/C1QA/CD300A/SPI1/VAMP8/PTPRC/VSIG4/RAC2/NMI/TGFBR2/PTPN6/SBNO2/CSF1/TLR2/HAMP/IFI35/TLR1/LGALS9/STXBP2/ANXA1/CTSC/DOCK2/BTK/AIF1/LAT2/CD74/LYN/HAVCR2/IL6/TNIP2/IL33/FES/SNAP23/CLU/PLCG2/TYROBP/KCNJ8/FGR/BATF/TREM2/ADAM9/IFNGR1/TRAF3IP2/ADAM10/UNC13D/FN1/GRN/JAK2/C5AR1/BATF2/TMEM106A/PRAM1/CD33/PLA2G4A/NECTIN2/LCP2/IL10/SYK/RBPJ/ADORA2B/ITGAM/IFNGR2/IL18/STXBP3/LILRA2/PTAFR/IL15/PIK3CG/IL1RL1/FCGR2B/THBS1/ZC3H12A/S100A12/NDRG1/MILR1/PREX1/RELB/TLR3/CD177/PTGDS/NAGLU/IL18RAP/CD226/CXCL8/PYCARD/MMP8	95
GO:0031349	positive regulation of defense response	137/1824	478/18577	4.01910220757689e-32	5.83975550760923e-29	3.91650933543612e-29	OSMR/EMILIN1/MYD88/TNFRSF1A/ALPK1/PARP9/CYBA/COLEC12/PLSCR1/CD14/C3/NOD2/CD300A/HLA-E/SPI1/VAMP8/GBP2/HCK/IFI16/CASP4/NMI/CD81/RBM47/FCGR1A/PIK3AP1/TLR2/IL17RA/IRAK4/IFI35/CTSS/TLR1/TRIM5/GPSM3/GSDMD/S100A9/TRIM56/S100A8/LY96/FPR2/NLRC5/CTSC/NUPR1/BTK/CASP1/TNFAIP3/TLR8/LYN/HAVCR2/LILRA5/IL6/SLC15A3/IKBKE/TGFB1/TNIP2/ALOX5AP/ERBIN/IL33/VAV1/CEBPB/GPR4/CARD8/PLCG2/TYROBP/KCNJ8/NFKBIA/MNDA/TRIM6/TREM2/HLA-F/IRF7/WDFY1/EMILIN2/GRN/CD1D/TLR5/BIRC3/TLR7/NFKBIZ/UNC93B1/NEAT1/TLR10/STING1/IL6ST/STAT5B/NOD1/NECTIN2/FADD/RNF135/CD40/PTGER4/PELI1/PAK2/SYK/CGAS/AGT/LTF/ADORA2B/NLRC4/MAPKAPK2/IL18/LILRA2/TASL/IL1B/MMRN2/ZNFX1/IL15/PIK3CG/IL1RL1/IRAK3/RIGI/IFIH1/PDCD4/RPS19/S100A12/SERPINE1/RELA/RIOK3/CCR7/CLEC7A/IRF1/ZDHHC12/TRPV4/SLC15A4/TLR3/FYN/MAPKAPK3/FFAR2/NAGLU/NLRP6/IL18RAP/NONO/CD226/PYCARD/MMP8/DDX60/LSM14A/LAMP1	137
GO:0002697	regulation of immune effector process	120/1824	387/18577	9.41932113621894e-32	1.09490188887409e-28	7.34310445629868e-29	MYD88/SERPING1/ITGB2/TNFRSF1B/IL4R/ADGRE2/SLAMF8/C3/ICAM1/B2M/NOD2/CD300A/HLA-E/SPI1/VAMP8/PTPRC/VSIG4/RAC2/WAS/CR1/CD81/BCL6/FCGR1A/PTPN6/TGFB2/LGALS9/STXBP2/IL1R1/SASH3/ANXA1/HLA-DRA/ANGPT1/JAK3/LGALS3/LITAF/BTK/BST2/LAPTM5/CD74/CFH/LYN/NCKAP1L/HAVCR2/IL6/TGFB1/FGL2/IL4I1/LILRB1/IL33/FES/FZD5/VAV1/PLCG2/TYROBP/FGR/BATF/TRIM6/MR1/TREM2/HLA-F/UNC13D/CD59/HLA-DMB/CD55/GRN/CD1D/CD86/PRAM1/TLR7/HLA-B/NFKBIZ/IL18R1/STAT5B/NOD1/NCF1/NECTIN2/SPN/ARID5A/ZBTB1/HFE/FADD/MAD2L2/CD40/IL10/SYK/CGAS/DDX21/LOXL3/ZBTB7B/ADORA2B/ITGAM/MAPKAPK2/IL18/JUNB/IL1B/PTAFR/RIPK3/AHR/IRAK3/RIGI/FCGR2B/ZC3H12A/SIRT1/RPS19/TAP2/AXL/CLEC7A/SLC15A4/TLR3/DNAJB9/CD177/FFAR2/IL18RAP/TMBIM6/CD226/PYCARD/RIF1/CD5L/DDX60/LAMP1	120
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	115/1824	364/18577	2.71628207224688e-31	2.63117190064981e-28	1.76463026553161e-28	C4B/C1R/CFI/STAT3/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/SLC11A1/TNFRSF1B/IL4R/C3/ICAM1/B2M/NOD2/FCER1G/C1QA/CSF2RB/HLA-E/PTPRC/WAS/CR1/SOCS3/TCIRG1/CD81/BCL6/C7/MYO1G/C1RL/FCGR1A/PTPN6/IL17RA/NFKB2/IL21R/IL1R1/SASH3/ANXA1/CTSC/HLA-DRA/CD4/JAK3/BTK/TNFAIP3/CD74/TLR8/NCKAP1L/HAVCR2/IL6/TGFB1/C2/IL4I1/LILRB1/IL33/FZD5/BCL3/CLU/EBI3/BATF/IL6R/RAB27A/SWAP70/MR1/IGHG4/TREM2/HLA-F/TRAF3IP2/IRF7/UNC13D/CD55/JAK2/CD1D/HLA-B/NFKBIZ/UNC93B1/EMP2/BTN3A2/INPP5D/IL18R1/PLA2G4A/NECTIN2/SPN/ARID5A/TNFSF13B/ZBTB1/HFE/FADD/MAD2L2/CD40/IL10/LOXL3/ZBTB7B/IL18BP/JAG1/IL18/JUNB/GAPT/IL1B/NBN/RIPK3/MSH6/IL1RL1/AHR/FCGR2B/ZC3H12A/TAP2/CLEC7A/IGHG1/RELB/SLC15A4/KLHL6/IGHG2/CD226/RIF1	115
GO:0050867	positive regulation of cell activation	120/1824	394/18577	6.20648118479394e-31	4.42570368583688e-28	2.96815676253377e-28	MYD88/ITPKB/FCGR3A/ITGB2/IL4R/B2M/NOD2/HLA-E/SPI1/VAMP8/PTPRC/CR1/MMP14/MAP3K8/RUNX1/CD81/BCL6/TGFBR2/PTPN6/HAMP/LGALS9/SASH3/ANXA1/CTSC/HLA-DRA/CD4/BTK/RPS6KA1/AIF1/CD74/LYN/NCKAP1L/HAVCR2/LILRA5/IL6/CCL2/TGFB1/PNP/LILRB2/PLEK/CDKN1A/TNIP2/HLA-DMA/IL4I1/LILRB1/IL33/VAV1/RHOA/TYROBP/EBI3/FGR/DDR2/TREM2/HLA-F/HLA-DPA1/ACTL6A/HLA-DMB/CD55/JAK2/CD1D/CD86/NFKBIZ/IL2RG/IL15RA/HLA-DOA/TNFSF14/INPP5D/IL6ST/STAT5B/GLI2/PLA2G4A/NECTIN2/SPN/VCAM1/TNFSF13B/ZBTB1/FADD/MAD2L2/FLNA/CD40/IL10/PELI1/SYK/CBFB/ZBTB7B/ABL1/ADORA2B/ITGAM/IL18/LILRA2/IL1B/PTAFR/IL15/NCK1/SMARCE1/IL1RL1/THBS1/YES1/RASAL3/ARID2/VNN1/DOCK8/AXL/HLA-DPB1/GPR183/CCR7/CLEC7A/NFATC2/HES1/CD177/FYN/CD226/PYCARD/RIF1/SMARCD2/MMP8/RPS3/HLA-DQA1/HLA-DQA2/LAMP1	120
GO:0002237	response to molecule of bacterial origin	115/1824	367/18577	6.28817187567422e-31	4.42570368583688e-28	2.96815676253377e-28	C4B/MAOB/MYD88/SLC11A1/TNFRSF1B/CD14/PLSCR4/B2M/NOD2/CSF2RB/SPI1/GBP2/HCK/CCR5/TSPO/SBNO2/TLR2/IRAK4/GBP3/TLR1/TRIM5/NFKB2/S100A9/LGALS9/S100A8/CXCL2/LY96/LITAF/BTK/CASP1/TNFAIP3/LYN/HAVCR2/IL6/CCL2/LILRB2/CD68/TNIP2/C2/TAB2/ZFP36/ERBIN/LILRB1/CASP8/FZD5/CEBPB/CARD8/RHOA/PLCG2/VIM/KCNJ8/NFKBIA/CXCL10/TRIM6/TREM2/CD180/ADM/ADAM9/CSF3/LY86/CD55/CDK4/JAK2/CXCL5/CD86/C5AR1/SELE/CASP7/NFKBIZ/TLR10/CXCL3/NOS3/VCAM1/FOS/ARID5A/NFKB1/CD40/PTGER4/IL10/PELI1/ABL1/LTF/IL10RA/IL18BP/MAPKAPK2/FGFR2/PDE4B/LILRA2/IL1B/PTAFR/CXCL1/THBD/AHR/IRAK3/IRF8/FCGR2B/PDCD4/ZC3H12A/TAP2/AXL/SERPINE1/RELA/CCR7/GCH1/SELENOS/MAPKAPK3/NAGLU/FOSL2/PTGIR/CXCL8/PYCARD/RPL13A/MMP8/SIGIRR/PTGER1	115
GO:0002443	leukocyte mediated immunity	130/1824	450/18577	6.85329201179146e-31	4.42570368583688e-28	2.96815676253377e-28	C4B/C1R/CFI/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/ITGB2/TNFRSF1B/IL4R/ADGRE2/C3/ICAM1/B2M/NOD2/FCER1G/C1QA/CD300A/CSF2RB/HLA-E/SPI1/VAMP8/PTPRC/RAC2/WAS/CR1/TCIRG1/CD81/BCL6/C7/MYO1G/C1RL/FCGR1A/PTPN6/IRAK4/IL21R/LGALS9/STXBP2/IL1R1/SASH3/CTSC/HLA-DRA/JAK3/BTK/BST2/LAT2/CD74/TLR8/LYN/NCKAP1L/HAVCR2/IL6/TGFB1/C2/IL4I1/LILRB1/FES/FZD5/VAV1/SNAP23/BCL3/CLU/PLCG2/TYROBP/FGR/BATF/RAB27A/SWAP70/MR1/IGHG4/TREM2/HLA-F/TRAF3IP2/IRF7/UNC13D/CD55/CD1D/PRAM1/HLA-B/NFKBIZ/UNC93B1/EMP2/WDR1/BTN3A2/INPP5D/TREM1/IL18R1/STAT5B/NECTIN2/SPN/ARID5A/ZBTB1/HFE/FADD/MAD2L2/CD40/IL10/SYK/DDX21/ADORA2B/ITGAM/JAG1/IL18/STXBP3/GAPT/IL1B/PTAFR/PIK3CG/NBN/RIPK3/MSH6/AHR/RIGI/FCGR2B/TAP2/MILR1/CLEC7A/IGHG1/SLC15A4/TLR3/CD177/PTGDS/NLRP6/IL18RAP/IGHG2/CD226/RIF1/LAMP1	130
GO:0002366	leukocyte activation involved in immune response	100/1824	301/18577	2.60391203532138e-29	1.51339367492878e-26	1.0149775017679e-26	STAT3/MYD88/FCGR3A/ITGB2/SLC11A1/IL4R/ADGRE2/ICAM1/FCER1G/CD300A/SPI1/VAMP8/PTPRC/RAC2/CR1/SOCS3/LCP1/NMI/CD81/BCL6/PTPN6/SBNO2/TP53/IFI35/ITGAL/LGALS9/STXBP2/ANXA1/HLA-DRA/DOCK2/JAK3/LGALS3/BTK/LAT2/CD74/LYN/NCKAP1L/HAVCR2/IL6/TGFB1/FGL2/MFNG/LILRB1/IL33/FES/SNAP23/BCL3/PLCG2/TYROBP/FGR/BATF/IL6R/RAB27A/SWAP70/TREM2/CD180/HLA-F/UNC13D/HLA-DMB/GRN/CD86/PRAM1/NFKBIZ/IL18R1/APBB1IP/SPN/MAD2L2/CD40/PTGER4/IL10/SYK/LOXL3/ZBTB7B/ABL1/ADORA2B/ITGAM/IL18/STXBP3/JUNB/LILRA2/GAPT/PTAFR/PIK3CG/NBN/MSH6/IRF8/FCGR2B/ZC3H12A/GPR183/MILR1/ATP7A/RELB/SLC15A4/DOCK11/CD177/PTGDS/RPS6/PYCARD/RIF1/LAMP1	100
