"Gene","Median_R","P_value","FDR"
"ENSG00000147164.12",-0.110065648625814,0.153050957549229,0.564417174694928
"ENSG00000260582.1",-0.110073965266571,0.153019731745824,0.564358265150414
"ENSG00000228078.1",-0.110074288355194,0.153018518768608,0.564358265150414
"ENSG00000236758.5",-0.110086754869255,0.152971721054525,0.564278191834211
"ENSG00000239508.1",-0.110087711285452,0.152968131235017,0.564278191834211
"ENSG00000109654.16",-0.110089153640636,0.152962717608701,0.564278191834211
"ENSG00000240568.1",-0.11009964325733,0.152923351023681,0.564205666051283
"ENSG00000228510.2",-0.110118229107671,0.152853618762203,0.564019299636308
"ENSG00000179909.16",-0.110128498002689,0.152815101173748,0.563941511461124
"ENSG00000162390.18",-0.11013210054887,0.15280159012099,0.563925465483702
"ENSG00000043039.7",-0.110146111777343,0.152749050726416,0.563765371988397
"ENSG00000286187.1",-0.110154692970228,0.152716879641146,0.563683949718213
"ENSG00000234324.1",-0.110158939513518,0.152700961144751,0.563683949718213
"ENSG00000206474.8",-0.110171486861897,0.15265393374805,0.563583305254349
"ENSG00000255460.1",-0.110173919786591,0.152644816423234,0.563583305254349
"ENSG00000254160.1",-0.110174185388831,0.152643821110307,0.563583305254349
"ENSG00000268681.1",-0.110180110163179,0.152621619992574,0.563565427540828
"ENSG00000187559.6",-0.110183924704178,0.152607327559847,0.563565427540828
"ENSG00000279314.1",-0.110204506112605,0.152530229957345,0.563329361047458
"ENSG00000254181.1",-0.110216977044059,0.152483528357128,0.563190678101847
"ENSG00000125898.13",-0.110219147557729,0.152475401240143,0.563190678101847
"ENSG00000118976.5",-0.110219322251872,0.15247474714203,0.563190678101847
"ENSG00000228274.5",-0.110219459424182,0.152474233536429,0.563190678101847
"ENSG00000286109.1",-0.110235341606171,0.152414775708731,0.563101749947345
"ENSG00000286947.1",-0.110245741054188,0.152375852965421,0.563101749947345
"ENSG00000253105.6",-0.110259060710183,0.152326011506846,0.563081990040081
"ENSG00000261327.5",-0.110261328118122,0.152317528209567,0.563081990040081
"ENSG00000160256.13",-0.110262166614526,0.152314391143022,0.563081990040081
