ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022898	regulation of transmembrane transporter activity	23/501	238/18577	1.35089558493491e-07	1.01669576414014e-05	8.97402719237079e-06	CACNB3/CACNA1D/RNF207/NETO1/ADRA2A/SHISA7/PRKCE/CABP1/CRHR1/SPHK2/PTPN3/HPCA/CACNG2/MAPK8IP2/CACNG3/GNB5/CACNB1/EPHB2/FXYD7/FGF12/WNK2/CRH/HECW1	23
GO:0050806	positive regulation of synaptic transmission	19/501	169/18577	1.59821578550276e-07	1.1772389466831e-05	1.03910871787559e-05	SHISA7/LRRTM1/PRKCE/GRIN1/SYT12/SYT1/LARGE1/PINK1/NRXN1/GPR158/CACNG2/CACNG3/SLC4A8/GRIN2A/GSK3B/CLSTN3/EPHB2/SLC8A3/STX1A	19
GO:0097479	synaptic vesicle localization	11/501	54/18577	1.65085041151726e-07	1.19067585930682e-05	1.05096902294618e-05	RAB3A/DNM1/PINK1/SYNDIG1/BRSK2/AP3B2/SNAP91/PCLO/BRSK1/CDK5/TRIM46	11
GO:0051966	regulation of synaptic transmission, glutamatergic	13/501	79/18577	1.77834349197848e-07	1.25645411616929e-05	1.10902924966993e-05	GRM4/GRIN1/SYT1/NRXN1/UNC13A/CACNG2/MAPK8IP2/CACNG3/GRIN2A/DGKZ/GRM7/GRM2/CDK5	13
GO:0060560	developmental growth involved in morphogenesis	23/501	243/18577	1.96879940997304e-07	1.36319671146533e-05	1.20324730255826e-05	PTPRS/L1CAM/PLXNA1/SYT1/SEMA6C/MAGI2/UNC13A/CPNE9/EMX1/TRPC5/DCLK1/GSK3B/AUTS2/LIMK1/DCC/CYFIP2/RTN4R/OLFM1/CDK5/RNF157/TRIM46/SYT3/BCL11A	23
GO:0015872	dopamine transport	11/501	55/18577	2.01393367197918e-07	1.3671055632141e-05	1.20669751284944e-05	PRKCB/SYT7/SYT5/SYT12/SYT1/PINK1/KCNA2/GRM2/CHRNB2/SYT13/SYT3	11
GO:0048813	dendrite morphogenesis	17/501	139/18577	2.12650429319955e-07	1.41576112751093e-05	1.24964412209682e-05	LZTS3/KNDC1/TAOK2/STAU2/SULT4A1/MAPK8IP2/PHACTR1/TRPC5/DCLK1/GSK3B/CAMK2B/ARHGAP44/EPHB2/MAP6/CHRNB2/CDK5/HECW1	17
GO:0032409	regulation of transporter activity	24/501	270/18577	3.43198250260234e-07	2.24179687245459e-05	1.97875773685295e-05	CACNB3/CACNA1D/RNF207/NETO1/ADRA2A/SHISA7/PRKCE/CABP1/CRHR1/SPHK2/PTPN3/HPCA/CACNG2/MAPK8IP2/CACNG3/GNB5/CACNB1/EPHB2/FXYD7/FGF12/WNK2/CRH/HECW1/SYNGR3	24
GO:1902075	cellular response to salt	20/501	198/18577	4.37703925378177e-07	2.75300641815062e-05	2.42998498947711e-05	KCNQ3/PRKCB/TRPM2/SYT7/SYT5/SYT12/SYT1/LARGE1/HPCA/CPNE9/CPNE4/CHRM1/PLCB1/KCNB1/PDXP/GPLD1/CHRNB2/SYT13/SYT3/BCL11A	20
GO:0050905	neuromuscular process	18/501	163/18577	4.4263999715977e-07	2.75300641815062e-05	2.42998498947711e-05	RBFOX1/SCN1A/CSMD1/GLRB/LARGE1/CAMTA1/NRXN1/CNTNAP1/NEFL/GRIN2A/MYCBP2/SPTBN4/ATP8A2/CNTNAP2/FGF12/ABCC8/RAC3/SLC8A3	18
GO:1904062	regulation of monoatomic cation transmembrane transport	26/501	314/18577	4.45315885085023e-07	2.75300641815062e-05	2.42998498947711e-05	CACNB3/CACNA1D/RNF207/NETO1/ADRA2A/PRKCE/GRIN1/CABP1/CRHR1/KCNH2/RGS7/SPHK2/PTPN3/TMEM38A/HPCA/THY1/GRIN2A/GNB5/CACNB1/KCNAB3/FXYD7/FGF12/WNK2/KCNIP3/HECW1/KCNC2	26
GO:0006816	calcium ion transport	32/501	443/18577	4.71336063921332e-07	2.86274640929062e-05	2.52684874157641e-05	PRKCB/CACNB3/CACNA1D/SCN1A/TRPM2/ADRA2A/PRKCE/GRIN1/MCHR1/CABP1/CRHR1/PKD1/SPHK2/TMEM38A/HPCA/CACNA2D2/THY1/CACNG2/CACNG3/NALF1/GRIN2A/TRPC5/GNB5/CACNB1/PLCB1/CAMK2B/CACNA1A/SCN8A/CHRNB2/CDK5/SLC8A3/ATP2B2	32
GO:0099601	regulation of neurotransmitter receptor activity	10/501	48/18577	4.84942289880228e-07	2.89460380614715e-05	2.55496818062124e-05	NETO1/SHISA7/CACNG2/MAPK8IP2/CACNG3/DLGAP4/EPHB2/DLGAP1/CRH/DLGAP2	10
GO:0071277	cellular response to calcium ion	13/501	86/18577	4.93850187357335e-07	2.89781245530694e-05	2.55780034593817e-05	KCNQ3/TRPM2/SYT7/SYT5/SYT12/SYT1/HPCA/CPNE9/CPNE4/KCNB1/GPLD1/SYT13/SYT3	13
GO:0050890	cognition	26/501	317/18577	5.34515685914116e-07	3.08415550772445e-05	2.72227901089242e-05	NETO1/SHISA7/GRIN1/SOBP/TTBK1/SLC12A5/CSMD1/LARGE1/NRXN1/GPR158/MAPK8IP2/CPEB3/GRIN2A/RASGRF1/CHRM1/PLCB1/CNTNAP2/EPHB2/CHRNB2/BRSK1/CDK5/CRH/ABCC8/NRXN3/SLC8A3/NDRG4	26
